City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
Qaanaaq,100,GL,82,77.484,-69.3632,-0.81,2.28
Morąg,71,PL,90,53.9171,19.926,30.99,3.0
Dikson,92,RU,100,73.5069,80.5464,-7.33,6.62
Beringovskiy,10,RU,83,63.05,179.3167,0.57,8.03
Castro,49,BR,94,-24.7911,-50.0119,59.2,4.65
Kapaa,75,US,57,22.0752,-159.319,75.2,23.02
Flinders,48,AU,95,-34.5833,150.8552,72.0,1.01
Avera,1,US,24,33.194,-82.5271,80.6,5.75
Hong Kong,86,HK,81,22.2855,114.1577,73.0,4.0
Ilulissat,90,GL,79,69.2167,-51.1,17.6,8.05
Huarmey,97,PE,78,-10.0681,-78.1522,73.08,11.39
George Town,20,MY,94,5.4112,100.3354,79.0,5.1
Fortuna,1,US,71,40.5982,-124.1573,57.99,17.27
Bredasdorp,43,ZA,94,-34.5322,20.0403,59.0,2.64
Hilo,90,US,83,19.7297,-155.09,69.8,5.75
Aksarka,100,RU,95,66.5606,67.7975,22.44,6.51
Severo-Kuril'sk,14,RU,68,50.6789,156.125,27.9,12.26
Maebaru-chūō,0,JP,71,33.55,130.2,57.99,5.75
Rikitea,9,PF,70,-23.1203,-134.9692,77.29,8.88
Ushuaia,75,AR,66,-54.8,-68.3,51.8,6.26
Lincoln,90,US,60,40.8,-96.667,70.0,29.93
Coyhaique,75,CL,67,-45.5752,-72.0662,57.2,4.61
Hermanus,19,ZA,92,-34.4187,19.2345,57.99,1.99
Price,90,US,31,39.5994,-110.8107,48.2,17.27
Bluff,100,NZ,82,-46.6,168.3333,57.99,8.99
Leningradskiy,56,RU,88,69.3833,178.4167,-4.25,8.93
Busselton,81,AU,98,-33.65,115.3333,61.0,1.01
Mataura,100,NZ,82,-46.1927,168.8643,57.99,8.99
Katsuura,75,JP,66,35.1333,140.3,52.0,9.22
Lebu,100,CL,90,-37.6167,-73.65,57.49,6.26
Mandan,75,US,35,46.8267,-100.8896,53.6,10.36
